Epoch, softmax_risk, exact_top10_risk, gmips_top100_risk, gmips_p@10, random_top100_risk, random_p@10
1, 0.2654, 0.2743, 0.3021,3.49e-1, 0.3176 ,1.01e-1
2, 0.2291, 0.2416, 0.2863,3.35e-1, 0.3009 ,9.80e-2
3, 0.2091, 0.2177, 0.2740,3.30e-1, 0.2860 ,1.01e-1
4, 0.1959, 0.2024, 0.2646,3.19e-1, 0.2743 ,9.86e-2
5, 0.1894, 0.1926, 0.2590,3.01e-1, 0.2653 ,1.03e-1
6, 0.1799, 0.1847, 0.2553,3.04e-1, 0.2582 ,9.91e-2
7, 0.1740, 0.1757, 0.2542,2.93e-1, 0.2504 ,9.89e-2
8, 0.1709, 0.1719, 0.2531,2.88e-1, 0.2396 ,1.00e-1
9, 0.1674, 0.1629, 0.2514,2.83e-1, 0.2334 ,9.84e-2
10,0.1642, 0.1660, 0.2476,2.89e-1, 0.2274 ,9.39e-2
