Epoch, softmax_risk, exact_top10_risk, gmips_top10_risk, gmips_p@10, random_top10_risk, random_p@10
1, 0.9717, 0.9577, 0.9787,2.15e-1, 0.9788 ,9.90e-3
2, 0.9554, 0.9381, 0.9568,1.07e-1, 0.9526 ,9.80e-3
3, 0.8995, 0.9160, 0.9401,6.48e-2, 0.9362 ,1.09e-2
4, 0.9059, 0.8904, 0.9464,3.60e-2, 0.9330 ,8.50e-3
5, 0.8662, 0.8392, 0.9369,2.88e-2, 0.9274 ,9.00e-3
6, 0.8627, 0.8271, 0.9385,2.61e-2, 0.9158 ,1.25e-2
7, 0.8144, 0.7954, 0.9151,2.50e-2, 0.8936 ,9.70e-3
8, 0.7805, 0.7710, 0.9073,2.23e-2, 0.9028 ,1.01e-2
9, 0.7764, 0.7522, 0.9123,1.85e-2, 0.8854 ,9.40e-3
10, 0.7439, 0.7393, 0.8955,1.81e-2, 0.8416 ,1.07e-2
11, 0.7060, 0.7063, 0.8857,1.85e-2, 0.8792 ,1.01e-2
12, 0.7017, 0.6789, 0.8570,1.88e-2, 0.8562 ,8.90e-3
13, 0.6774, 0.6401, 0.8606,1.79e-2, 0.8409 ,8.30e-3
14, 0.6802, 0.6552, 0.8552,1.41e-2, 0.8182 ,1.06e-2
15, 0.6394, 0.6299, 0.8613,1.30e-2, 0.8254 ,8.40e-3
